num,title,credits
ECE F211,ELECTRICAL MACHINES,4
ECE F212,ELECTROMAGNETIC THEO,3
ECE F214,ELECTRONIC DEVICES,3
ECE F215,DIGITAL DESIGN,4
ECON F211,PRINCIPLES OF ECONOMICS,3
ECON F212,FUNDA OF FIN AND ACCOUNT,3
ECON F213,MATHEMATIC & STAT METHOD,3
ECON F214,ECONOMIC ENV OF BUSINES,3
ECON F241,ECONOMETRIC METHODS,3
ECON F266,STUDY PROJECT,3
ECON F311,INTERNATIONAL ECONOMICS,3
ECON F312,MONEY BANK & FIN MARKETS,3
ECON F313,ISSUES IN ECONOMIC DEV,3
ECON F315,FINANCIAL MANAGEMENT,3
ECON F345,BEHAVIORAL ECONOMICS,3
ECON F354,DERIVATIVE & RISK MGMT,3
ECON F355,BUSINESS ANALYSIS AND VALUATION,3
ECON F366,LABORATORY PROJECT,3
ECON F367,LABORATORY PROJECT,3
ECON F376,DESIGN PROJECT,3
ECON F377,DESIGN PROJECT,3
ECON F412,SECUR ANAL & PORTFOL MGT,3
ECON F415,NEW VENTRURE CREATION,3
ECON F491,SPECIAL PROJECT,3
EEE F211,ELECTRICAL MACHINES,4
EEE F212,ELECTROMAGNETIC THEO,3
EEE F214,ELECTRONIC DEVICES,3
EEE F215,DIGITAL DESIGN,4
EEE F266,STUDY PROJECT,3
EEE F311,COMMUNICATION SYSTEMS,4
EEE F313,ANALOG & DIGIT VLSI DESGN,3
EEE F346,DATA COMM NETWORKS,2
EEE F366,LABORATORY PROJECT,3
EEE F367,LABORATORY PROJECT,3
EEE F376,DESIGN PROJECT,3
EEE F377,DESIGN PROJECT,3
EEE F414,TELECOM SWIT SYS & NETWK,3
EEE F422,MODERN CONTROL SYSTEMS,3
EEE F431,MOBILE TELECOM NETWORKS,3
EEE F432,MEDICAL INSTRUMENTATION,3
EEE F433,ELECTROMAGNETIC FIELDS & WAVES,3
EEE F434,DIGITAL SIGNAL PROCESS,4
EEE F435,DIGITAL IMAGE PROCESSING,3
EEE F472,SATELLITE COMMUNICAITON,3
EEE F473,WIND ELECTRICAL SYSTEM,3
EEE F491,SPECIAL PROJECTS,3
EEE G512,EMBEDDED SYSTEM DESIGN,4
EEE G626,HARDWARE SOFTWARE CO-DSGN,4
FIN F311,DERIVATIVE & RISK MGMT,3
FIN F313,SECUR ANAL & PORTFOL MGT,3
FIN F315,FINANCIAL MANAGEMENT,3
GS F211,MOD POLITICAL CONCEPTS,3
GS F212,"ENVIRONMENT, DEVELOPMENT & CLIMATE CHANGE",3
GS F233,PUBLIC POLICY,3
GS F234,DEVELOPMENT ECONOMICS,3
GS F242,CULTURAL STUDIES,3
GS F245,EFFECTIVE PUBLIC SPEAK,3
GS F322,CRITI ANAL OF LIT & CINE,3
GS F326,CREATIVE THINKING,3
HSS F221,READINGS FROM DRAMA,3
HSS F222,LINGUISTICS,3
HSS F227,CROSS CULTURAL SKILLS,3
HSS F232,INTRO TO DEV STUDIES,3
HSS F236,SYMBOLIC LOGIC,3
HSS F266,STUDY PROJECT,3
HSS F313,INTRODUCTION TO CONTEMPORARY ARTS,3
HSS F314,MARITIME STUDIES AND BLUE ECONOMY,3
HSS F332,CINEMATIC ART,3
HSS F336,MODERN FICTION,3
HSS F338,COMPARATIVE INDIAN LITERATURE,3
HSS F343,PROFESSIONAL ETHICS,3
HSS F347,INTRO TO CARNATIC MUSIC,3
HSS F349,ECOCRITICISM,3
HSS F399,INTRODUCTION TO AMERICAN LITERATURE,3
INSTR F211,ELECTRICAL MACHINES,4
INSTR F212,ELECTROMAGNETIC THEO,3
INSTR F214,ELECTRONIC DEVICES,3
INSTR F215,DIGITAL DESIGN,4
INSTR F266,STUDY PROJECT,3
INSTR F311,ELECTRO INST & INST TECH,4
INSTR F312,TRANSD & MEASUREMENT SYST,3
INSTR F313,ANALOG & DIGIT VLSI DESGN,3
INSTR F366,LABORATORY PROJECT,3
INSTR F367,LABORATORY PROJECT,3
INSTR F376,DESIGN PROJECT,3
INSTR F377,DESIGN PROJECT,3
INSTR F414,TELECOM SWIT SYS & NETWK,3
INSTR F432,MEDICAL INSTRUMENTATION,3
INSTR F473,WIND ELECTRICAL SYSTEM,3
INSTR F491,SPECIAL PROJECT,3
IS F341,SOFTWARE ENGINEERING,4
IS F462,NETWORK PROGRAMMING,3
MATH F111,MATHEMATICS I,3
MATH F113,PROBABILITY & STATISTICS,3
MATH F211,MATHEMATICS III,3
MATH F212,OPTIMIZATION,3
MATH F213,DISCRETE MATHEMATICS,3
MATH F214,ELEMENTARY REAL ANALYSIS,3
MATH F215,ALGEBRA I,3
MATH F266,STUDY PROJECT,3
MATH F311,INTRODUCTION TO TOPOLOGY,3
MATH F312,ORDINARY DIFF EQUATIONS,3
MATH F313,NUMERICAL ANALYSIS,3
MATH F354,COMPLEX ANALYSIS,3
MATH F366,LABORATORY PROJECT,3
MATH F367,LABORATORY PROJECT,3
MATH F376,DESIGN PROJECT,3
MATH F377,DESIGN PROJECT,3
MATH F491,SPECIAL PROJECTS,3
MATH F492,WAVELET ANALYSIS AND APPLICATIONS,4
ME F110,WORKSHOP PRACTICE,2
ME F211,MECHANICS OF SOLIDS,3
ME F212,FLUID MECHANICS,3
ME F213,MATERIALS SCIENCE & ENGG,2
ME F214,APPLIED THERMODYANMICS,3
ME F243,PRODUCTION TECHNIQUES I,3
ME F266,STUDY PROJECT,3
ME F311,HEAT TRANSFER,4
ME F312,ADV MECHANICS OF SOLIDS,3
ME F342,COMPUTER AIDED DESIGN,4
ME F366,LABORATORY PROJECT,3
ME F367,LABORATORY PROJECT,3
ME F376,DESIGN PROJECT,3
ME F377,DESIGN PROJECT,3
ME F420,POWER PLANT ENGINEERING,3
ME F423,MICRO-FLUIDICS & ITS APP,4
ME F491,SPECIAL PROJECTS,3
ME G511,MECHANISMS & ROBOTICS,5
ME G512,FINITE ELEMENT METHODS,5
ME G515,COMPUT FLUID DYNAMICS,5
ME G535,ADVANCED ENG MATH,5
MEL G611,I C FABRICATION TECH,5
MEL G621,VLSI DESIGN,5
MEL G622,INTRO TO ARTIF NEURAL NET,4
MEL G623,ADVANCED VLSI DESIGN,5
MEL G625,ADVANCED ANALOG AND MIXED SIGNAL DESIGN,5
MEL G626,VLSI TEST & TESTABILITY,5
MEL G631,PHY & MO OF MICROEL DEV,5
MF F421,SUPPLY CHAIN MANAGEMENT,4
MST G522,ADVANCED COMPOSITES,5
PHY F110,PHYSICS LABORATORY,1
PHY F111,MECH OSCILLATIONS & WAVE,3
PHY F211,CLASSICAL MECHANICS,4
PHY F212,ELECTROMAGNETIC THEO I,3
PHY F213,OPTICS,3
PHY F214,ELEC MAGNET & OPTICS LAB,2
PHY F215,INTRO TO ASTRO & ASTROPH,3
PHY F266,STUDY PROJECT,3
PHY F311,QUANTUM MECHANICS II,3
PHY F312,STATISTICAL MECHANICS,3
PHY F313,COMPUTATIONAL PHYSICS,3
PHY F315,THEORY OF RELATIVITY,3
PHY F366,LABORATORY PROJECT,3
PHY F367,LABORATORY PROJECT,3
PHY F376,DESIGN PROJECT,3
PHY F377,DESIGN PROJECT,3
PHY F412,INTRODUCTION TO QUANTUM FIELD THEORY,4
PHY F415,GEN THEO OF REL & COSMO,4
PHY F420,QUANTUM OPTICS,4
PHY F426,PHYSICS OF SEMICOND DEV,4
PHY F491,SPECIAL PROJECTS,3
